Numero_Lote,Capacidad_Restante,Distancia_Recorrida,Tiempo_Total
1,0,184,1775300
2,0,184,38400
3,2,184,41800
4,1,184,158100
5,0,184,32800
6,4,184,28700
7,3,184,21700
8,4,184,23100
9,0,182,36000
10,3,184,30600
11,2,184,30900
12,0,184,22000
13,1,184,34600
14,1,184,32700
15,0,184,34800
16,1,184,31100
17,0,184,31100
18,1,184,29500
19,0,184,29700
20,1,184,28800
21,3,184,50600
22,3,184,22400
23,0,184,21100
24,1,184,21100
25,0,184,32900
26,0,184,20300
27,3,184,19800
28,2,184,23200
29,0,184,34400
30,0,184,24100
31,2,184,18200
32,0,184,19400
33,0,184,18700
34,2,184,18700
35,3,184,18100
36,3,184,20100
37,0,184,19500
38,2,184,18800
39,2,184,18400
40,0,184,19200
41,0,184,17900
42,2,184,25200
43,4,184,18700
44,3,184,18200
45,1,184,36000
46,3,184,18800
47,3,184,18400
48,0,184,17900
49,1,184,18000
50,1,184,19900
51,4,184,17200
52,1,184,19900
53,1,184,18000
54,1,184,17600
55,4,184,17200
56,1,184,18400
57,1,184,18100
58,0,184,17200
59,0,184,17800
60,1,184,16900
61,1,184,25000
62,4,184,24100
63,4,184,25600
64,0,184,22900
65,2,184,23000
66,4,184,25900
67,0,184,25300
68,1,184,29600
69,4,184,24200
70,1,184,32500
71,0,184,28500
72,4,184,25600
73,0,184,27000
74,3,184,25300
75,1,184,19900
76,4,184,18400
77,4,184,17700
78,0,184,18100
79,2,184,17300
80,0,184,27000
81,2,184,17500
82,4,184,16800
83,1,184,17400
84,4,184,30300
85,3,184,17600
86,0,184,17100
87,1,184,17400
88,2,184,18700
89,0,184,16700
90,2,184,18400
91,0,184,18300
92,1,184,18300
93,0,184,26500
94,0,184,24300
95,4,184,19500
96,1,184,18100
97,3,184,17100
98,0,184,32600
99,0,184,17700
100,0,184,18700
101,0,184,17000
102,0,184,18300
103,0,184,17200
104,1,184,20700
105,0,184,19700
106,0,184,17000
107,4,184,16300
108,1,184,19100
109,1,182,18200
110,2,184,2900
111,0,184,2600
112,0,184,2700
113,0,184,2700
114,1,184,2500
115,1,184,2500
116,1,184,2300
117,2,184,2700
118,3,184,2600
119,0,184,5100
120,0,184,2700
121,0,184,3200
122,4,184,3300
123,4,184,32000
124,2,184,20800
125,1,184,2900
126,4,184,2700
127,0,184,2300
128,0,184,2700
129,0,184,2500
130,2,184,2500
131,4,184,2300
132,1,184,2400
133,1,184,2700
134,4,184,2500
135,0,184,2800
136,3,184,4600
137,1,184,5600
138,3,184,2800
139,4,184,2600
140,2,184,2500
141,0,184,2400
142,0,184,2400
143,0,184,4400
144,0,184,2700
145,0,184,2300
146,0,184,2800
147,2,184,2700
148,0,184,2400
149,1,184,4000
150,0,184,4400
151,0,184,3400
152,2,184,6100
153,1,184,3800
154,1,184,2900
155,0,184,2900
156,1,184,2900
157,0,184,2600
158,1,184,3100
159,0,184,3100
160,1,184,3000
161,0,184,2800
162,2,184,2500
163,0,184,2500
164,3,184,2800
165,3,184,3000
166,0,184,3300
167,2,184,2500
168,0,184,6400
169,4,184,2500
170,0,184,2400
171,3,184,2300
172,0,184,2400
173,2,184,2700
174,4,184,2800
175,2,184,2800
176,2,184,2700
177,0,184,2900
178,0,184,2700
179,2,184,4000
180,3,184,2500
181,0,184,3100
182,3,184,2400
183,3,184,2500
184,1,184,2300
185,1,184,2500
186,0,184,2400
187,1,184,2400
188,1,184,2400
189,0,184,2500
190,2,184,2700
191,3,184,2600
192,1,184,2300
193,1,184,2700
194,0,184,2500
195,0,184,2300
196,2,184,2400
197,1,184,2900
198,0,184,2600
199,0,184,2500
200,4,184,4200
201,1,184,3800
202,2,184,2900
203,0,184,2500
204,0,184,2500
205,4,184,2300
206,0,184,2400
207,0,184,2500
208,0,184,2500
209,0,184,2400
210,1,184,2400
211,0,184,2600
212,0,184,2700
213,1,184,3100
214,0,184,2900
215,0,184,2400
216,1,184,2600
217,1,184,2400
218,1,184,2500
219,1,184,2500
220,0,184,2400
221,1,184,2500
222,0,184,2600
223,4,184,2400
224,1,184,2400
225,1,184,2600
226,2,184,2400
227,0,184,2500
228,2,184,2300
229,0,184,2300
230,3,184,2500
231,3,184,2500
232,0,184,17300
233,0,184,4900
234,1,184,2200
235,2,184,2300
236,1,184,2300
237,3,184,2300
238,0,184,2200
239,1,184,2200
240,3,184,2200
241,0,184,2300
242,0,184,2100
243,1,184,2200
244,0,184,5600
245,0,184,2100
246,3,184,2300
247,0,184,2500
248,0,184,2800
249,3,184,2500
250,5,184,2300
251,5,184,2200
252,5,184,2200
253,5,184,2100
254,5,184,5900
255,5,184,2400
256,11,184,2800
257,5,184,4200
258,16,184,62300
259,53,184,12000
